Team,BGR,,Team,KAERI,,Team,NARI,,Team,NWMO,,Team,SSM-UU,,Team,SURAO,,Team,CNSC
Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture 
Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4
Sim ID,4BGR-DA,,Sim ID,4KAERI-DA,,Sim ID,4NARI-EP,,Sim ID,4NWMO-DA,,Sim ID,4SSM-UU-DA,,Sim ID,4SURAO-EA,,Sim ID,4CNSC-DA
Approach,DFN ADE,,Approach,DFN,,Approach,ECPM & Particle tracking,,Approach,DFN ADE (COMSOL),,Approach,DFN,,Approach,CPM with zero matrix porosity,,Approach,With COMSOL ver 6.0
,,,,,,,,,,,,,,,,,,conservative,
Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj
79.68033918,1.00E+00,,0.81,0,,7.52E-01,9.10E-03,,0.005468835,-1.29E-34,,2.82E-05,-3.02E-72,,3.5,9.68E-01,,1.310112303,0.86256
87.6498731,1.00E+00,,0.82,0,,7.63E-01,9.20E-03,,0.005684896,-1.29E-34,,2.85E-05,-3.10E-72,,3.55,9.69E-01,,1.342560905,0.87224
96.41636041,1.00E+00,,0.83,0.001,,7.65E-01,9.30E-03,,0.005900957,-1.29E-34,,2.88E-05,-3.18E-72,,3.6,9.70E-01,,1.407458108,0.88851
106.0594964,1.00E+00,,0.84,0.002,,7.67E-01,9.40E-03,,0.006117018,-1.29E-34,,2.92E-05,-3.26E-72,,3.65,9.71E-01,,1.472355312,0.9013
,,,0.85,0.005,,7.67E-01,9.50E-03,,0.006333079,-1.29E-34,,2.95E-05,-3.35E-72,,3.7,9.71E-01,,1.537252516,0.91146
,,,0.86,0.012,,7.68E-01,9.60E-03,,0.00654914,-1.29E-34,,2.99E-05,-3.43E-72,,3.75,9.72E-01,,1.60214972,0.91974
,,,0.87,0.027,,7.73E-01,9.70E-03,,0.006765201,-1.29E-34,,3.02E-05,-3.51E-72,,3.8,9.73E-01,,1.667046924,0.92654
,,,0.88,0.053,,7.78E-01,9.80E-03,,0.006981262,-1.29E-34,,3.05E-05,-3.58E-72,,3.85,9.74E-01,,1.731944128,0.93212
,,,0.89,0.094,,7.95E-01,9.90E-03,,0.007197323,-1.29E-34,,3.09E-05,-3.66E-72,,3.9,9.74E-01,,1.796841331,0.93699
,,,0.9,0.15,,7.99E-01,1.00E-02,,0.007413383,-1.29E-34,,3.13E-05,-3.74E-72,,3.95,9.75E-01,,1.861738535,0.94127
,,,0.91,0.214,,8.05E-01,1.01E-02,,0.007629444,-1.29E-34,,3.16E-05,-3.81E-72,,4,9.75E-01,,1.926635739,0.94506
